timestamp,temperature,rate0,rate1,rate2,rate3,ratev,hv_level,veto_level,id_bit,pps_active,suspended,power_on,scenario,longitude,latitude
1665479359.4579763,22,0,0,0,0,0,2827,2304,0,1,0,0,14,-37.66493907449763,18.19574349448338
1665479390.8707187,22,49,5,19,39,27,2827,2304,0,1,0,0,14,-36.37139128997995,19.75561164873737
1665479422.283461,23,46,6,21,40,27,2827,2304,0,1,0,0,14,-35.04951340468331,21.304152403016214
1665479453.6962035,23,41,7,21,35,26,2827,2304,0,1,0,0,14,-33.69768024153098,22.83980080622996
1665479485.1089458,23,52,7,21,41,28,2827,2304,0,1,0,0,14,-32.31258450525064,24.36092366609952
1665479516.5216882,23,46,6,17,38,26,2827,2304,0,1,0,0,14,-30.891011335222203,25.86574995060587
1665479547.9344306,24,47,6,18,40,26,2827,2304,0,1,0,0,14,-29.429707775013142,27.352916746585965
1665479579.347173,24,46,5,19,38,26,2827,2304,0,1,0,0,14,-27.925952015112998,28.821541789125305
1665479610.7599154,24,48,6,21,39,27,2827,2304,0,1,0,0,14,-26.375991649475214,30.26988092683396
1665479642.1726577,24,52,6,21,43,30,2827,2304,0,1,0,0,14,-24.776242987663007,31.694759818809246
1665479673.5854,25,46,6,19,46,28,2827,2304,0,1,0,0,14,-23.124505492775263,33.095249136402714
1665479704.9981425,25,48,6,20,41,29,2827,2304,0,1,0,0,14,-21.41534207355016,34.469447705214144
1665479736.4108849,25,39,6,19,36,25,2827,2304,0,1,0,0,14,-19.64629021225386,35.814494908439585
1665479767.8236272,25,42,6,20,38,26,2827,2304,0,1,0,0,14,-17.812453054643317,37.12808116548838
1665479799.2363696,25,46,5,19,40,28,2827,2304,0,1,0,0,14,-15.91040962589269,38.40792141379611
1665479830.649112,25,45,6,19,37,26,2827,2304,0,1,0,0,14,-13.937327986676506,39.65087257597038
1665479862.0618544,26,46,7,18,36,26,2827,2304,0,1,0,0,14,-11.888428123492032,40.85388363573959
1665479893.4745967,26,45,6,20,37,26,2827,2304,0,1,0,0,14,-9.761241819925282,42.01396119540875
1665479924.887339,26,47,7,21,38,27,2827,2304,0,1,0,0,14,-7.552437706326598,43.12791857701624
1665479987.7128239,26,49,6,20,36,26,2827,2304,0,1,0,0,14,-2.8798271593910463,45.202716281563674
1665480019.1255662,26,48,6,19,36,25,2827,2304,0,1,0,0,14,-0.4128851003905401,46.15628747585629
