status,time,description,ID_in_Graph
1,1657881198.028595,25,12,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 01')"
1,1657881208.028595,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657881208.028595,26,12,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 01')"
1,1657881218.028595,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657881218.028595,25,12,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 01')"
1,1657881228.028595,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657881228.028595,26,12,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 01')"
1,1657881268.028595,"('delay of ', 40.0)",SE0>script delay 40000,
1,1657881267.975098,read the current time ,1657881267.975098,
1,1657881267.975098,27,11,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 02')"
1,1657881277.975098,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657881277.975098,28,11,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 02')"
1,1657881287.975098,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657881287.975098,27,11,"('cmnd found in list ', 'SE0>csp txrx 12 4 3000 02')"
1,1657881297.975098,"('delay of ', 10.0)",SE0>script delay 10000,
1,1657881297.975098,28,11,"('cmnd found in list ', 'SE0>csp txrx 13 4 3000 02')"
1,1657881357.975098,"('delay of ', 60.0)",SE0>script delay 60000,
1,1657881357.979889,read the current time ,1657881357.979889,
1,1657881357.979889,9,8,"('cmnd found in list ', 'SE0>csp txrx 12 8 3000 08')"
